COUNTY,ZIP,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01001,36066,PRATTVILLE,AL,0.297311272,0.278672523,0.530916844,0.299444146
01001,36758,PLANTERSVILLE,AL,0.006107808,0.001464129,0.000000000,0.005737852
01001,36068,PRATTVILLE,AL,0.044273526,0.165934602,0.004264392,0.051162513
01001,36067,PRATTVILLE,AL,0.454110651,0.489995120,0.379530917,0.455262686
01001,36749,JONES,AL,0.014574716,0.001464129,0.014925373,0.013776821
01001,36003,AUTAUGAVILLE,AL,0.035838935,0.018545632,0.040511727,0.034845496
01001,36091,VERBENA,AL,0.008531541,0.001464129,0.000000000,0.007979200
01001,36051,MARBURY,AL,0.032187177,0.012689117,0.010660981,0.030691531
01001,36006,BILLINGSLEY,AL,0.018549638,0.004880429,0.010660981,0.017602056
01001,36022,DEATSVILLE,AL,0.082633144,0.016593460,0.008528785,0.077550654
01001,36703,SELMA,AL,0.004847466,0.006344558,0.000000000,0.004871197
01001,36008,BOOTH,AL,0.001034126,0.001952172,0.000000000,0.001075847
01003,36536,FOLEY,AL,0.008759612,0.021679806,0.000739645,0.009532368
01003,36564,POINT CLEAR,AL,0.006494683,0.006822317,0.000369822,0.006431102
01003,36574,SEMINOLE,AL,0.005384868,0.001895088,0.005547337,0.005147998
01003,36555,MAGNOLIA SPRINGS,AL,0.003935314,0.000909642,0.003328402,0.003719442
01003,36551,LOXLEY,AL,0.028640024,0.020315343,0.016272189,0.027895814
01003,36580,SUMMERDALE,AL,0.025016138,0.026303820,0.022928994,0.025075064
01003,36480,URIAH,AL,0.000033974,0.000000000,0.000000000,0.000031169
01003,36527,DAPHNE,AL,0.051362921,0.059278351,0.054363905,0.051947512
01003,36502,ATMORE,AL,0.000939945,0.000530625,0.000000000,0.000898692
01003,36542,GULF SHORES,AL,0.113767369,0.069208611,0.166050296,0.111448193
01003,36578,STAPLETON,AL,0.009280545,0.005912674,0.000369822,0.008924583
01003,36550,LITTLE RIVER,AL,0.000877660,0.000379018,0.000000000,0.000831160
01003,36533,FAIRHOPE,AL,0.007797017,0.037750152,0.000739645,0.009750548
01003,36530,ELBERTA,AL,0.035967068,0.016600970,0.018491124,0.034394448
01003,36532,FAIRHOPE,AL,0.123767029,0.133717404,0.158284024,0.124933767
01003,36526,DAPHNE,AL,0.114769600,0.162067920,0.118713018,0.118066306
01003,36559,MONTROSE,AL,0.004790324,0.007959369,0.000369822,0.004945403
01003,36549,LILLIAN,AL,0.031346613,0.011370528,0.002588757,0.029573719
01003,36579,STOCKTON,AL,0.005826529,0.002198302,0.003698225,0.005547994
01003,36511,BON SECOUR,AL,0.004812974,0.004396604,0.002958580,0.004758392
01003,36561,ORANGE BEACH,AL,0.102244544,0.083990297,0.105399408,0.101037911
01003,36567,ROBERTSDALE,AL,0.042671257,0.039038811,0.062130178,0.042695660
01003,36535,FOLEY,AL,0.143596480,0.162067920,0.146449704,0.144902391
01003,36547,GULF SHORES,AL,0.042003103,0.045633717,0.000739645,0.041672294
01003,36576,SILVERHILL,AL,0.016834083,0.003183748,0.018491124,0.015921912
01003,36562,PERDIDO,AL,0.004977181,0.001743481,0.003698225,0.004737613
01003,36577,SPANISH FORT,AL,0.004292040,0.012810794,0.000369822,0.004820729
01003,36507,BAY MINETTE,AL,0.059811105,0.062234688,0.086908284,0.060357814
01005,36016,CLAYTON,AL,0.130924135,0.067286652,0.325870647,0.128890556
01005,36374,SKIPPERVILLE,AL,0.004745391,0.002188184,0.000000000,0.004392779
01005,36048,LOUISVILLE,AL,0.052807690,0.014223195,0.012437811,0.048159854
01005,36317,CLOPTON,AL,0.001581797,0.000547046,0.000000000,0.001446403
01005,36027,EUFAULA,AL,0.588611060,0.700218818,0.532338308,0.598328601
01005,36311,ARITON,AL,0.022449352,0.003282276,0.002487562,0.020142497
01005,36053,MIDWAY,AL,0.031635943,0.018052516,0.000000000,0.029624471
01005,36072,EUFAULA,AL,0.080915009,0.123085339,0.004975124,0.083409225
01005,36017,CLIO,AL,0.086329622,0.071115974,0.121890547,0.085605614
01007,35080,HELENA,AL,0.000548546,0.000000000,0.000000000,0.000509771
01007,35184,WEST BLOCTON,AL,0.267964893,0.114074074,0.159235669,0.257689040
01007,35074,GREEN POND,AL,0.000000000,0.001481481,0.000000000,0.000084962
01007,35115,MONTEVALLO,AL,0.008319620,0.001481481,0.000000000,0.007816483
01007,36793,LAWLEY,AL,0.020204791,0.002962963,0.044585987,0.019541206
01007,36792,RANDOLPH,AL,0.039952459,0.011851852,0.019108280,0.038062872
01007,36756,MARION,AL,0.000000000,0.001481481,0.000000000,0.000084962
01007,35034,BRENT,AL,0.151307369,0.195555556,0.254777070,0.155225149
01007,35188,WOODSTOCK,AL,0.115834705,0.220740741,0.121019108,0.121920136
01007,35042,CENTREVILLE,AL,0.295849333,0.408888889,0.356687898,0.303143585
01007,36750,MAPLESVILLE,AL,0.004205522,0.002962963,0.000000000,0.004078165
01007,35111,MC CALLA,AL,0.013713659,0.004444444,0.012738854,0.013169074
01007,35456,DUNCANVILLE,AL,0.000731395,0.000000000,0.000000000,0.000679694
01007,35035,BRIERFIELD,AL,0.081367709,0.034074074,0.031847134,0.077994902
01009,35079,HAYDEN,AL,0.160620899,0.072821847,0.058411215,0.155031732
01009,35121,ONEONTA,AL,0.259051997,0.503250975,0.420560748,0.272954638
01009,35980,HORTON,AL,0.024382932,0.009752926,0.007009346,0.023447025
01009,35976,GUNTERSVILLE,AL,0.010459345,0.003250975,0.014018692,0.010160378
01009,35133,REMLAP,AL,0.066653343,0.033159948,0.042056075,0.064713790
01009,35146,SPRINGVILLE,AL,0.015389228,0.002600780,0.000000000,0.014568418
01009,35126,PINSON,AL,0.008127644,0.004551365,0.000000000,0.007846938
01009,35063,EMPIRE,AL,0.009360115,0.003250975,0.007009346,0.009034920
01009,35077,HANCEVILLE,AL,0.000066620,0.000000000,0.000000000,0.000062525
01009,35016,ARAB,AL,0.005895873,0.002600780,0.000000000,0.005658549
01009,35049,CLEVELAND,AL,0.067252923,0.058517555,0.016355140,0.066151874
01009,35957,BOAZ,AL,0.008127644,0.001950585,0.004672897,0.007784412
01009,35172,TRAFFORD,AL,0.038872789,0.022106632,0.039719626,0.038077969
01009,35031,BLOUNTSVILLE,AL,0.142267080,0.089076723,0.149532710,0.139806797
01009,35013,ALLGOOD,AL,0.000000000,0.000650195,0.000000000,0.000031263
01009,35180,WARRIOR,AL,0.097598348,0.082574772,0.193925234,0.098164879
01009,35097,LOCUST FORK,AL,0.027647314,0.038361508,0.018691589,0.028042642
01009,35952,ALTOONA,AL,0.058225909,0.071521456,0.028037383,0.058461250
01011,36052,MATHEWS,AL,0.004879690,0.005859375,0.000000000,0.004926867
01011,36005,BANKS,AL,0.061585058,0.035156250,0.000000000,0.059122402
01011,36081,TROY,AL,0.036850076,0.007812500,0.000000000,0.034334103
01011,36053,MIDWAY,AL,0.140669695,0.054687500,0.175000000,0.134103156
01011,36029,FITZPATRICK,AL,0.068652196,0.029296875,0.000000000,0.065127021
01011,36860,HURTSBORO,AL,0.006394077,0.005859375,0.000000000,0.006312548
01011,36089,UNION SPRINGS,AL,0.680632677,0.859375000,0.825000000,0.695612009
01011,36031,FORT DAVIS,AL,0.000000000,0.001953125,0.000000000,0.000153965
01011,36830,AUBURN,AL,0.000336530,0.000000000,0.000000000,0.000307929
01013,36071,RUTLEDGE,AL,0.003630962,0.000000000,0.000000000,0.003237675
01013,36030,FOREST HOME,AL,0.031853441,0.018292683,0.000000000,0.029948492
01013,36474,RED LEVEL,AL,0.000495131,0.000000000,0.000000000,0.000441501
01013,36456,MC KENZIE,AL,0.066100017,0.018292683,0.077160494,0.062325239
01013,36037,GREENVILLE,AL,0.654728503,0.871951220,0.376543210,0.666445916
01013,36033,GEORGIANA,AL,0.192853606,0.082752613,0.379629630,0.188005887
01013,36015,CHAPMAN,AL,0.000000000,0.000871080,0.000000000,0.000073584
01013,36042,HONORAVILLE,AL,0.028635088,0.003484321,0.000000000,0.025827815
01013,36032,FORT DEPOSIT,AL,0.021703251,0.004355401,0.166666667,0.023693893
01015,35096,LINCOLN,AL,0.002616559,0.000440917,0.000000000,0.002377525
01015,36204,ANNISTON,AL,0.010739394,0.010875955,0.000689180,0.010563923
01015,36253,BYNUM,AL,0.000000000,0.000293945,0.000000000,0.000025703
01015,36279,WELLINGTON,AL,0.020472418,0.005291005,0.004135079,0.018840282
01015,36277,WEAVER,AL,0.039837831,0.007201646,0.016540317,0.036549632
01015,36202,ANNISTON,AL,0.029270958,0.065108760,0.001378360,0.031884542
01015,36260,EASTABOGA,AL,0.021349397,0.008083480,0.003445899,0.019855549
01015,36250,ALEXANDRIA,AL,0.030521730,0.027924750,0.031013094,0.030303809
01015,36206,ANNISTON,AL,0.082953549,0.066725456,0.078566506,0.081452732
01015,36201,ANNISTON,AL,0.166740946,0.291887125,0.134390076,0.177080656
01015,36205,ANNISTON,AL,0.014577972,0.015285126,0.046175052,0.015229014
01015,36272,PIEDMONT,AL,0.073723709,0.065402704,0.057891110,0.072700869
01015,36257,DE ARMANVILLE,AL,0.006095720,0.002204586,0.000689180,0.005654655
01015,35905,GADSDEN,AL,0.005031844,0.002792475,0.001378360,0.004767902
01015,36271,OHATCHEE,AL,0.051166669,0.015726044,0.008270159,0.047267774
01015,36254,CHOCCOLOCCO,AL,0.000000000,0.000146972,0.000000000,0.000012851
01015,36265,JACKSONVILLE,AL,0.163362422,0.082304527,0.208821502,0.157122295
